Index,p_t,q_t,Action,Y_t,Success,FP,FN,Misclassified
0,0.26585614681243896,0.26585614681243896,OFFLOADED,1.0,No,1.0,1.0,1.0
1,0.9637613892555237,0.9632067830033523,ACCEPTED,0.0,Yes,0.0,0.0,0.0
2,0.25439348816871643,0.24415169738110637,OFFLOADED,1.0,No,0.0,1.0,0.0
3,0.2979348301887512,0.27779307803622233,OFFLOADED,1.0,No,0.0,1.0,1.0
4,0.345176637172699,0.3157557372191385,OFFLOADED,1.0,No,0.0,1.0,1.0
5,0.5436350107192993,0.5151024530013463,OFFLOADED,1.0,No,1.0,1.0,0.0
6,0.5530577301979065,0.5108744409767212,OFFLOADED,0.0,Yes,0.0,0.0,0.0
7,0.5625702142715454,0.5355932337907532,ACCEPTED,1.0,No,1.0,1.0,1.0
8,0.2593642473220825,0.2133490779970168,ACCEPTED,1.0,No,1.0,1.0,0.0
9,0.2560470998287201,0.2009579406780369,OFFLOADED,1.0,No,1.0,1.0,1.0
10,0.26373130083084106,0.19843416768981922,OFFLOADED,1.0,No,1.0,1.0,1.0
11,0.272605299949646,0.1976834743855835,OFFLOADED,1.0,No,1.0,1.0,1.0
12,0.27001428604125977,0.18622533190283982,OFFLOADED,1.0,No,1.0,1.0,1.0
13,0.4782658517360687,0.399819547404534,ACCEPTED,1.0,No,1.0,1.0,1.0
14,0.32967469096183777,0.22930086790997914,OFFLOADED,0.0,Yes,0.0,0.0,0.0
15,0.42118319869041443,0.3345535353870701,ACCEPTED,1.0,No,1.0,1.0,1.0
16,0.5973943471908569,0.5201588789076004,ACCEPTED,1.0,No,1.0,1.0,1.0
17,0.41891196370124817,0.31044928105808817,ACCEPTED,1.0,No,1.0,1.0,0.0
18,0.5691311359405518,0.4632200669799716,OFFLOADED,1.0,No,0.0,0.0,1.0
19,0.8816627264022827,0.8499532637124052,ACCEPTED,0.0,Yes,0.0,0.0,0.0
20,0.7879819273948669,0.735326773515419,OFFLOADED,1.0,No,1.0,1.0,0.0
21,0.37450551986694336,0.24661520735366663,OFFLOADED,1.0,No,1.0,1.0,1.0
